CCAA,Sex,Year,Inf_Secundaria_25_64,Inf_Secundaria_25_34,Inf_Secundaria_55_64,Segunda_Etapa_25_64,Segunda_Etapa_25_34,Segunda_Etapa_55_64,Superior_25_64,Superior_25_34,Superior_55_64,Age12_Suitability,Age15_Suitability
Andalucia,Male,2018,51.3,48.3,60.7,20.5,22.0,16.8,28.2,29.7,22.5,84.5,60.7
Aragon,Male,2018,37.9,34.4,49.0,26.2,24.7,23.9,35.8,40.9,27.1,81.4,58.0
"Asturias, Principado de",Male,2018,35.5,21.2,44.3,23.6,26.6,22.8,40.9,52.2,32.9,86.9,68.6
"Balears, Illes",Male,2018,46.9,44.7,51.7,27.3,28.8,26.1,25.8,26.5,22.2,80.2,58.8
Canarias,Male,2018,46.9,41.7,59.2,24.6,25.4,19.6,28.5,32.9,21.2,81.4,59.2
Cantabria,Male,2018,34.4,27.7,43.8,28.7,32.3,28.4,36.9,40.0,27.8,86.6,66.1
Castilla y Leon,Male,2018,43.8,37.6,53.2,24.2,25.8,21.3,31.9,36.5,25.5,82.0,65.4
Castilla-La Mancha,Male,2018,52.6,45.4,63.9,21.7,22.7,18.7,25.7,31.9,17.4,79.7,60.1
Cataluna,Male,2018,40.4,36.8,51.6,21.2,19.2,20.1,38.3,44.0,28.2,92.1,76.6
Comunitat Valenciana,Male,2018,44.7,37.4,55.7,23.3,25.3,21.8,32.0,37.2,22.5,82.4,62.1
Extremadura,Male,2018,59.3,50.8,69.7,18.2,23.9,15.5,22.5,25.3,14.8,82.1,63.9
